Projection,Measure,min,ave,max,ratio
Gnomonic,Scale,0.30231504410921217,1.0001334861388964,8.035695134922976,26.580533425323214
Gnomonic,Angle,6.649701987671125e-05,18.003360859367447,59.74749227272487,
Gnomonic,Distance,-3417.3856327105404,-887.8450376738051,1788.2187257659612,
Gnomonic,Distance 2,-3417.32815866702,-888.029512579491,1788.2112355116537,
Chamberlin Trimetric,Scale,1.7674910298213018,1.8619751866179417,1.98501712400987,1.1230705505818384
Chamberlin Trimetric,Angle,0.0012214754409618038,7.387600653101434,22.99856253246317,
Chamberlin Trimetric,Distance,-1150.6191271755706,-442.16005378463353,411.537556504868,
Chamberlin Trimetric,Distance 2,-1152.5165830331516,-442.18385977923754,411.7713617253148,
Linear Trimetric,Scale,1.9907424913468348,2.455130768049125,2.6255010325803934,1.3188551728777906
Linear Trimetric,Angle,0.013271846419688253,21.69655691237043,59.83335564707924,
Linear Trimetric,Distance,-967.962402436905,-150.29464074875327,1279.1272843854795,
Linear Trimetric,Distance 2,-967.9322053154283,-150.34877164170624,1279.4962712267052,
Conformal,Scale,-1378.750795907158,0.9619592478577819,90.95253633713227,-0.06596735001504711
Conformal,Angle,0.0031100444454978836,1.3747253897501421,180.0,
Conformal,Distance,-3382.2062423094176,-824.7584844441527,1416.509568508833,
Conformal,Distance 2,-3383.305098873956,-839.1051239566548,1400.1981980518835,
Areal,Scale,0.8270016831951454,1.000033823768113,1.2716427643211172,1.5376543847022026
Areal,Angle,0.020505107181732405,30.198206906647602,59.86574729916517,
Areal,Distance,-3373.5769934904147,-759.0631248803468,363.2492697151847,
Areal,Distance 2,-3383.4376642056886,-759.08815061054,364.92714550542223,
Fuller explicit,Scale,0.4434987638278037,1.0001458450102099,1.9839262188099138,4.473352308102957
Fuller explicit,Angle,0.014954291927982706,23.88433032784274,59.909119501677736,
Fuller explicit,Distance,-3385.7010304647774,-828.8519245704086,988.7640119933858,
Fuller explicit,Distance 2,-3386.612989936755,-828.919857122344,988.7435341642163,
Fuller Tweaked,Scale,0.6787478829657017,1.0000196043732719,1.9770967322575685,2.9128587828795847
Fuller Tweaked,Angle,0.014934266972652148,23.495163592465765,59.739992473109744,
Fuller Tweaked,Distance,-3374.5374601307685,-786.3565325878876,613.5599849483324,
Fuller Tweaked,Distance 2,-3383.689568846412,-786.4246346460982,613.6041996030799,
Bisect,Scale,0.6675991895021806,0.9999413322346673,1.3599090435884071,2.037014221965237
Bisect,Angle,0.015160257323386247,29.945830843042806,62.4795200011303,
Bisect,Distance,-3370.2182444129758,-745.8127868507073,363.4950654135737,
Bisect,Distance 2,-3382.5613197013154,-745.8378353481774,365.01133686981484,
Snyder Equal-Area,Scale,0.898138217898222,0.9999901786095051,1.0061039530222409,1.1202106011886175
Snyder Equal-Area,Angle,0.1530440725204455,33.716807053546425,63.38792101648979,
Snyder Equal-Area,Distance,-3370.164871562487,-737.7303118106112,783.9977070820214,
Snyder Equal-Area,Distance 2,-3369.557467022323,-737.8993971833813,364.09549153858825,
Snyder Symmetrized,Scale,0.9900822651256167,0.999989988069932,1.0517414029880892,1.0622767824799382
Snyder Symmetrized,Angle,0.023497855063948005,30.52517941773386,50.074726862075494,
Snyder Symmetrized,Distance,-3371.2435118630383,-738.6547813802193,181.37333646208754,
Snyder Symmetrized,Distance 2,-3382.8342055981757,-738.70093873958,182.0917774059253,
Near Equal-Area,Scale,0.5471842255687799,0.9028174837622439,1.1275589577281107,2.060656914142674
Near Equal-Area,Angle,0.025698664820423888,37.40001098724041,65.96105199467421,
Near Equal-Area,Distance,-3668.9699191907457,-750.1961862533554,182.04752778423426,
Near Equal-Area,Distance 2,-3684.165946014906,-750.2526960914179,177.37796553698536,
Near Equal-Area Tweaked,Scale,0.9866935783493479,1.3191854720018013,2.296030095452532,2.3269940595879723
Near Equal-Area Tweaked,Angle,0.02571660560979601,27.875325209438625,53.995944432065905,
Near Equal-Area Tweaked,Distance,-2774.6877767815076,-672.7934220994159,824.2200662463802,
Near Equal-Area Tweaked,Distance 2,-2777.11351613895,-672.740636387496,825.6139664204802,
