Projection,Measure,min,q1,q99,max,ave
Gnomonic,Scale,0.828830750169731,0.8315199865034169,1.5027632596514189,1.634436641214308,1.0001401582428444
Gnomonic,Angle,0.0007534907809084596,0.06179662743727014,11.344980119863196,12.0,3.4096962851429717
Gnomonic,Distance,-372.00561309727436,-358.82412821751495,207.81402631621972,211.45428811628017,-96.86304037400932
Conformal,Scale,0.4536490112236213,0.8996915265086586,1.815064525000862,7.505428252414066,1.0002415238906772
Conformal,Angle,0,0,0,0,0
Conformal,Distance,-371.8306038430819,-348.94410951638355,214.48961957729065,215.45056027793862,-87.8037228740878
Areal,Scale,0.9462539580072169,0.947216501278163,1.1269279205179252,1.1530449423609075,1.0000284962084993
Areal,Angle,0.03865364908188487,0.9010605794156551,12.0,12.0,6.178701298882167
Areal,Distance,-371.82744631426795,-341.4956646178198,74.60117560032612,76.6301417142522,-84.28904211774899
Fuller explicit,Scale,0.9506496417751052,0.9517059799314831,1.066515827735633,1.07665635894042,1.0000404744676665
Fuller explicit,Angle,0.04862976453205439,1.1377874356780406,12.0,12.0,7.032195872089681
Fuller explicit,Distance,-371.8394769986089,-341.2206885825517,55.28114222507352,57.08134216039866,-82.92189436556845
Fuller Tweaked,Scale,0.9171670651533703,0.9256443256731858,1.0538610973117262,1.0742338445538293,0.9999088666548981
Fuller Tweaked,Angle,0.0479004799683638,1.128863751702192,12.0,12.0,7.648192158459327
Fuller Tweaked,Distance,-371.6480940981237,-327.61288810040236,22.66395900175638,24.410774271171704,-76.92747108497252
Bisect,Scale,0.8714928601249314,0.9390792129292885,1.127335304939584,1.1788633790555003,0.9997522110347714
Bisect,Angle,0.02873954507712949,0.6705262967043445,12.0,12.0,6.3167998202549205
Bisect,Distance,-371.70182978259527,-332.6122981220191,60.598407572490714,62.53567725708035,-81.05932535487801
Snyder Equal-Area,Scale,1,1,1,1,1
Snyder Equal-Area,Angle,3.25470333991592,5.136751327698139,12.0,12.0,8.963414984665434
Snyder Equal-Area,Distance,-371.8259301548933,-341.43759878592596,33.19278069632709,34.1692462912215,-79.02543380407232
Snyder Symmetrized,Scale,0.8893927698754008,0.9993681448527446,1.003126498322792,1.0104109927776892,0.9999716350779223
Snyder Symmetrized,Angle,0.06149421003116385,1.431638576768746,10.890718246465688,12.0,7.817550654960176
Snyder Symmetrized,Distance,-371.7800963953905,-336.62917293962437,13.009643162450006,13.692478904299605,-79.07929053913287
